start1,start2,start4,stop1-ITAV,stop2-ITAV,stop1-DETI,stop2-DETI,start3-ITAV,start3-DETI,stop3-ITAV,stop3-DETI,stop4,start5,start6,stop5-ITAV,stop5-DETI,stop6
1626091437358,1626091437358,1626091437358,1626091437867,1626091437947,1626091438035,1626091438111,1626091672323,1626091732569,1626091793040,1626091792869,1626091793144,1626091900100,1626091900100,1626091900260,1626091900183,1626091972856
1626126472808,1626126472808,1626126472808,1626126473391,1626126473462,1626126473536,1626126473609,1626126776862,1626126837125,1626126897634,1626126897441,1626126897728,1626126940915,1626126940915,1626126941040,1626126940982,1626127017379
1626127039657,1626127039657,1626127039657,1626127039862,1626127039981,1626127040122,1626127040264,1626127257277,1626127317447,1626127377931,1626127377751,1626127378031,1626127412316,1626127412316,1626127412366,1626127412415,1626127497700
1626127542270,1626127542270,1626127542270,1626127542497,1626127542562,1626127542640,1626127542695,1626127797619,1626127857794,1626127918306,1626127918132,1626127918408,1626127960275,1626127960275,1626127960381,1626127960325,1626128038123
1626128100209,1626128100209,1626128100209,1626128100405,1626128100480,1626128100548,1626128100605,1626128337996,1626128398187,1626128458604,1626128458443,1626128458694,1626128502609,1626128502609,1626128502726,1626128502669,1626128578434
1626128636113,1626128636113,1626128636113,1626128636300,1626128636368,1626128636451,1626128636507,1626128878330,1626128938489,1626128998993,1626128998814,1626128999081,1626129043873,1626129043873,1626129043915,1626129043979,1626129118792
1626129161745,1626129161745,1626129161745,1626129161924,1626129161981,1626129162061,1626129162148,1626129478875,1626129418686,1626129539192,1626129539365,1626129539469,1626129593073,1626129593073,1626129593126,1626129593191,1626129659198
1626130553040,1626130553040,1626130553040,1626130553720,1626130553807,1626130553893,1626130553970,1626130781651,1626130841874,1626130902321,1626130902157,1626130902418,1626130950278,1626130950278,1626130950418,1626130950356,1626131022175
1626131089043,1626131089043,1626131089043,1626131089261,1626131089319,1626131089395,1626131089498,1626131382243,1626131322042,1626131442543,1626131442703,1626131442786,1626131486219,1626131486219,1626131486355,1626131486300,1626131562530
1626131656016,1626131656016,1626131656016,1626131656233,1626131656304,1626131656382,1626131656448,1626131862397,1626131922557,1626132013060,1626132012857,1626132013149,1626132048234,1626132048234,1626132048278,1626132048340,1626132132813
1626132168625,1626132168625,1626132168625,1626132168787,1626132168874,1626132168953,1626132169017,1626132522914,1626132432742,1626132583245,1626132583437,1626132583521,1626132663028,1626132663028,1626132663090,1626132663146,1626132703206
1626132771757,1626132771757,1626132771757,1626132771955,1626132772015,1626132772088,1626132772151,1626133123365,1626133003139,1626133213706,1626133213878,1626133213968,1626133271601,1626133271601,1626133271654,1626133271712,1626133333681
1626133375862,1626133375862,1626133375862,1626133376075,1626133376138,1626133376224,1626133376308,1626133633595,1626133693764,1626133754289,1626133754109,1626133754382,1626133796087,1626133796087,1626133796230,1626133796153,1626133874088
1626134492129,1626134492129,1626134492129,1626134492751,1626134492829,1626134492936,1626134493021,1626134787494,1626134727220,1626134847837,1626134847993,1626134848095,1626134886673,1626134886673,1626134886825,1626134886754,1626134907805
1626135002374,1626135002374,1626135002374,1626135002623,1626135002686,1626135002763,1626135002822,1626135267696,1626135327871,1626135388298,1626135388144,1626135388386,1626135781036,1626135781036,1626135781115,1626135781185,1626135808138
1626135831619,1626135831619,1626135831619,1626135831804,1626135831874,1626135831963,1626135832031,1626136168216,1626136108030,1626136228482,1626136228697,1626136228790,1626136279837,1626136279837,1626136279967,1626136279908,1626136348481
1626170287825,1626170287825,1626170287825,1626170288375,1626170288608,1626170288767,1626170288850,1626170631587,1626170511334,1626170691901,1626170692117,1626170692218,1626170725880,1626170725880,1626170725936,1626170726019,1626170811841
1626170858688,1626170858688,1626170858688,1626170858888,1626170858947,1626170859030,1626170859088,1626171231931,1626171111773,1626171292212,1626171292390,1626171292476,1626171326131,1626171326131,1626171326275,1626171326189,1626171412158
1626171459979,1626171459979,1626171459979,1626171460195,1626171460253,1626171460320,1626171460380,1626171712101,1626171772352,1626171832841,1626171832656,1626171832926,1626171862594,1626171862594,1626171862660,1626171862716,1626171952608
1626171977509,1626171977509,1626171977509,1626171977732,1626171977814,1626171977908,1626171977979,1626172312736,1626172252565,1626172373060,1626172373230,1626172373301,1626172491962,1626172491962,1626172492090,1626172492033,1626172553006
1626172578813,1626172578813,1626172578813,1626172578974,1626172579038,1626172579116,1626172579230,1626172913053,1626172852892,1626172973324,1626172973466,1626172973537,1626173022185,1626173022185,1626173022283,1626173022231,1626173093315
1626173137904,1626173137904,1626173137904,1626173138084,1626173138144,1626173138272,1626173138350,1626173453380,1626173393217,1626173513703,1626173513929,1626173514002,1626173614375,1626173614375,1626173614435,1626173614511,1626173693654
1626174475539,1626174475539,1626174475539,1626174476170,1626174476249,1626174476325,1626174476393,1626174703771,1626174884115,1626174974649,1626174974453,1626174974742,1626175037681,1626175037681,1626175037749,1626175037802,1626175094434
1626175156937,1626175156937,1626175156937,1626175157149,1626175157261,1626175157370,1626175157438,1626175574607,1626175454345,1626175634939,1626175635077,1626175635155,1626175668571,1626175668571,1626175668620,1626175668661,1626175754888
1626175829714,1626175829714,1626175829714,1626175829915,1626175829997,1626175830111,1626175830193,1626176114812,1626176174962,1626176235475,1626176235324,1626176235554,1626176285709,1626176285709,1626176285762,1626176285817,1626176355319
1626176405493,1626176405493,1626176405493,1626176405708,1626176405805,1626176405883,1626176405950,1626176715386,1626176655222,1626176775684,1626176775834,1626176775906,1626176846350,1626176846350,1626176846413,1626176846464,1626176895646
1626176923557,1626176923557,1626176923557,1626176923749,1626176923832,1626176923968,1626176924033,1626177255741,1626177135560,1626177316043,1626177316186,1626177316260,1626177347508,1626177347508,1626177347561,1626177347715,1626177435966
1626180711884,1626180711884,1626180711884,1626180712507,1626180712579,1626180712652,1626180712722,1626180944105,1626181004340,1626181064807,1626181064640,1626181064909,1626181104812,1626181104812,1626181104870,1626181104961,1626181184653
1626181208216,1626181208216,1626181208216,1626181208442,1626181208517,1626181208655,1626181208715,1626181544731,1626181424507,1626181605028,1626181605171,1626181605252,1626181659004,1626181659004,1626181659060,1626181659115,1626181725015
1626181761829,1626181761829,1626181761829,1626181762004,1626181762059,1626181762140,1626181762215,1626182115122,1626182024936,1626182175375,1626182175548,1626182175653,1626182217685,1626182217685,1626182217842,1626182217749,1626182295370

















1626177460354,1626177460354,1626177460354,1626177460575,1626177460688,1626177460899,1626177460968,1626177976085,1626177735913,x,x,x,x,x,x,x,x
1626173715236,1626173715236,1626173715236,1626173715391,1626173715456,1626173715567,1626173715797,x,x,x,x,x,x,x,x,x,x
1626136368551,1626136368551,1626136368551,1626136368737,1626136368828,1626136368901,1626136368969,1626136588382,1626136648575,1626136709014,1626136708848,1626136709092,1626169802597,1626169802597,1626169802757,1626169802670,x
1626133936701,1626133936701,1626133936701,1626133936862,1626133936939,1626133937043,1626133937100,x,x,x,x,x,x,x,x,x,x
1626129677326,1626129677326,1626129677326,1626129677505,1626129677569,1626129677668,1626129677735,1626129899086,x,x,x,x,x,x,x,x
1626104905948,1626104905948,1626104905948,1626104906541,1626104906624,1626104906717,1626104906792,x,1626105156965,x,x,x,x,x,x,x,x
1626096386443,1626096386443,1626096386443,1626096386998,1626096387077,1626096387156,1626096387243,1626096584150,1626096644400,1626096704921,1626096704744,1626096705014,x,x,x,x,x
