stage1-ITAV,stage1-DETI,stage2-ITAV,stage2-DETI,stage3-ITAV,stage3-DETI,stage4,stage5-ITAV,stage5-DETI,stage6
509,677,589,753,120717,60300,355786,160,83,72756
583,728,654,801,120772,60316,424920,125,67,76464
205,465,324,607,120654,60304,338374,50,99,85384
227,370,292,425,120687,60338,376138,106,50,77848
196,339,271,396,120608,60256,358485,117,60,75825
187,338,255,394,120663,60325,362968,42,106,74919
179,316,236,403,60317,120679,377724,53,118,66125
680,853,767,930,120670,60283,349378,140,78,71897
218,352,276,455,60300,120661,353743,136,81,76311
217,366,288,432,150663,90300,357133,44,106,84579
162,328,249,392,60331,150695,414896,62,118,40178
198,331,258,394,90341,210739,442211,53,111,62080
213,362,276,446,120694,60345,378520,143,66,78001
622,807,700,892,60343,120773,355966,152,81,21132
249,389,312,448,120602,60273,386012,79,149,27102
185,344,255,412,60266,120667,397171,130,71,68644
550,942,783,1025,60314,180783,404393,56,139,85961
200,342,259,400,60281,180617,433788,144,58,86027
216,341,274,401,120740,60304,372947,66,122,90014
223,399,305,470,60324,120665,395792,128,71,61044
161,303,225,417,60271,120574,394724,98,46,71130
180,368,240,446,60323,120712,376098,60,136,79279
631,786,710,854,270878,90338,499203,68,121,56753
212,433,324,501,60332,180732,478218,49,90,86317
201,397,283,479,120663,60362,405840,53,108,69610
215,390,312,457,60298,120612,370413,63,114,49296
192,411,275,476,60302,180626,392703,53,207,88458
623,768,695,838,120702,60300,353025,58,149,79841
226,439,301,499,60297,180664,397036,56,111,66011
175,311,230,386,60253,150612,413824,157,64,77685
