Step1-1,Step1-2,Step2-1,Step2-2,GetMtd-1,GetMtd-2,GetInter-1,GetInter-2,Addpeer-1,Addpeer-2,Mtd-1,Mtd-2,Stage1,Step4-1,Step4-2,Stage2
709,537,793,616,60078,180147,60075,90115,60136,90137,60077,120131,983222,128,74,44244
391,218,461,291,60088,180159,60076,90111,60103,90144,60084,120146,960204,61,108,28417
752,584,832,662,60085,180138,60091,90120,60106,90176,60088,120139,938127,56,109,63707
829,587,915,738,60095,180172,60089,90108,60113,90201,60119,120168,978356,114,166,69867
433,222,506,310,90093,180160,60087,90190,60100,90178,90136,120135,1036347,90,147,51214
721,572,790,650,60089,180168,60071,120124,60118,90140,60119,120131,978152,112,56,71495
344,197,423,259,60092,180160,60073,90089,60117,90121,60086,120127,952043,104,52,78173
680,526,757,604,60094,180150,150141,120118,120188,90152,60076,120126,1174247,189,120,45133
691,522,759,603,60078,270193,60075,120129,60169,90169,60089,180168,1169132,110,66,79832
342,208,425,271,60084,180160,60080,120152,60106,90140,60086,120117,1015386,113,55,74459
699,542,778,623,60077,180158,60074,120124,60116,90135,60074,120131,1062663,133,56,23070
392,202,458,297,120106,180151,90103,90123,60126,90136,90146,120136,1074802,54,100,54811
673,520,747,605,60076,180203,60106,120104,60110,90190,60084,120139,987168,63,111,73659
423,232,498,317,60077,180149,60075,120132,60115,90162,60075,120125,996284,55,103,22448
714,561,804,635,60088,180170,90112,120113,90150,90128,60080,120120,1113734,72,122,76129
844,580,913,664,60078,180167,90101,90106,90130,90147,60073,120137,1039446,59,115,53213
797,646,868,724,60095,180169,60099,90099,60116,90126,60101,120112,991562,122,66,22885
352,197,426,273,60087,180141,60104,120108,60124,90124,60088,120119,1058350,130,68,23547
711,559,783,636,60079,180154,60087,120133,60123,90134,60081,120118,1006579,118,59,84359
397,209,471,287,60085,210173,90087,90141,90127,90144,60086,150168,1144734,142,49,20790
661,507,731,587,180137,180167,60084,90104,60142,90125,150171,120141,1206318,64,114,55893
389,247,453,318,60083,240185,90094,90110,90131,90158,60079,180155,1239651,129,70,76101
639,476,728,550,60104,180135,60079,120139,60117,90144,60100,120126,1059974,146,56,65126
336,194,397,267,60100,180137,60080,90112,60111,90143,60081,120115,1005996,48,94,72067
729,545,813,648,60074,180166,60095,90390,60125,90129,60095,120130,979773,57,107,79824
434,217,502,306,60070,180144,90093,90088,90150,90130,60078,120120,1051499,54,108,50529
706,540,787,618,60075,180145,60081,90114,60122,90148,60080,120149,945046,65,132,62714
896,519,1226,775,60090,180141,60091,120141,60106,90151,60078,120194,970788,63,113,79529
364,210,429,273,60105,180133,60100,90101,60132,90126,60079,120154,1011533,76,130,66677
367,223,456,287,60095,180143,90082,120107,60121,90213,60086,120108,1080587,54,106,25109
